id,nodeType
118,DOUBLE_KEYWORD
155,ASSERT_KEYWORD
167,VAR
52,THROWS_LIST
37,INTEGER_LITERAL
68,CLASS_KEYWORD
106,TRY_KEYWORD
47,MINUS
102,ANONYMOUS_CLASS
91,FINAL_KEYWORD
21,EXPRESSION_STATEMENT
76,SWITCH_LABEL_STATEMENT
9,ANNOTATION
165,BAD_CHARACTER
145,EMPTY_STATEMENT
29,ELSE_KEYWORD
77,CASE_KEYWORD
151,ANDEQ
162,GTGTGTEQ
61,PLUSEQ
170,INTERFACE_KEYWORD
12,TYPE
49,PARAMETER
92,OROR
90,ANNOTATION_PARAMETER_LIST
140,FIELD
53,TRUE_KEYWORD
117,SHORT_KEYWORD
110,LONG_LITERAL
143,GTGTEQ
65,VOID_KEYWORD
142,LTLT
2,MODIFIER_LIST
107,BYTE_KEYWORD
141,XOR
158,DIVEQ
20,ASSIGNMENT_EXPRESSION
96,LAMBDA_EXPRESSION
146,ASTERISKEQ
8,JAVA_CODE_REFERENCE
157,VOLATILE_KEYWORD
64,REFERENCE_PARAMETER_LIST
34,PLUSPLUS
72,STATIC_KEYWORD
97,ARROW
99,CONTINUE_STATEMENT
28,METHOD_CALL_EXPRESSION
79,SYNCHRONIZED_STATEMENT
153,ABSTRACT_KEYWORD
100,CONTINUE_KEYWORD
23,WHILE_KEYWORD
60,QUEST
169,STRICTFP_KEYWORD
22,WHILE_STATEMENT
115,RESOURCE_VARIABLE
156,PERCEQ
148,DO_KEYWORD
161,YIELD
55,FALSE_KEYWORD
124,ASTERISK
134,EXTENDS_LIST
125,DIV
86,EXTENDS_KEYWORD
36,EQEQ
26,PARENTH_EXPRESSION
129,IMPLEMENTS_KEYWORD
133,LE
44,EXCL
40,EXPRESSION_LIST
111,LONG_KEYWORD
6,RETURN_KEYWORD
108,FINALLY_KEYWORD
39,NEW_KEYWORD
71,INSTANCEOF_KEYWORD
166,SWITCH_EXPRESSION
101,INT_KEYWORD
130,IMPLEMENTS_LIST
35,LT
85,EXTENDS_BOUND_LIST
128,CLASS
4,CODE_BLOCK
66,TYPE_CAST_EXPRESSION
83,SUPER_KEYWORD
104,CATCH_SECTION
112,SUPER_EXPRESSION
84,TYPE_PARAMETER
70,INSTANCE_OF_EXPRESSION
14,BINARY_EXPRESSION
16,BLOCK_STATEMENT
105,CATCH_KEYWORD
159,YIELD_STATEMENT
168,RECEIVER
41,THROW_KEYWORD
78,CASE_LABEL_ELEMENT_LIST
31,CHARACTER_LITERAL
18,THIS_KEYWORD
122,MINUSMINUS
113,DEFAULT_KEYWORD
30,EQ
27,PREFIX_EXPRESSION
38,NEW_EXPRESSION
73,BOOLEAN_KEYWORD
48,NE
127,AND
137,MINUSEQ
3,METHOD
164,RESOURCE_EXPRESSION
131,GTGT
74,BREAK_KEYWORD
80,SYNCHRONIZED_KEYWORD
24,PLUS
56,DECLARATION_STATEMENT
19,THIS_EXPRESSION
136,PERC
57,LOCAL_VARIABLE
50,PARAMETER_LIST
119,FLOAT_KEYWORD
5,RETURN_STATEMENT
160,ERROR_ELEMENT
163,EMPTY_EXPRESSION
98,ARRAY_INITIALIZER_EXPRESSION
114,FOR_STATEMENT
116,RESOURCE_LIST
152,LTLTEQ
17,IF_KEYWORD
93,FOREACH_STATEMENT
58,CHAR_KEYWORD
45,CONDITIONAL_EXPRESSION
171,ENUM_KEYWORD
81,SWITCH_KEYWORD
95,DIAMOND_TYPE
67,CLASS_OBJECT_ACCESS_EXPRESSION
10,LITERAL_EXPRESSION
51,THROWS_KEYWORD
139,XOREQ
7,IDENTIFIER
62,METHOD_REF_EXPRESSION
103,TRY_STATEMENT
94,FOR_KEYWORD
126,GE
1,PUBLIC_KEYWORD
173,TRANSIENT_KEYWORD
33,POSTFIX_EXPRESSION
147,DO_WHILE_STATEMENT
13,REFERENCE_EXPRESSION
135,OR
42,THROW_STATEMENT
109,DOUBLE_LITERAL
138,LABELED_STATEMENT
123,ANNOTATION_ARRAY_INITIALIZER
172,NATIVE_KEYWORD
46,COLON
121,OREQ
132,EXPRESSION_LIST_STATEMENT
25,POLYADIC_EXPRESSION
15,IF_STATEMENT
54,GT
150,GTGTGT
43,NULL_KEYWORD
59,ARRAY_ACCESS_EXPRESSION
120,CLASS_INITIALIZER
154,ASSERT_STATEMENT
63,DOUBLE_COLON
69,PROTECTED_KEYWORD
89,NAME_VALUE_PAIR
144,FLOAT_LITERAL
32,ANDAND
75,BREAK_STATEMENT
11,STRING_LITERAL
87,TYPE_PARAMETER_LIST
149,TILDE
82,SWITCH_STATEMENT
88,PRIVATE_KEYWORD
